mine_id,mine_name,date,pm10
1,Kusunda OCP,2026-06-01,70.38
1,Kusunda OCP,2026-06-02,56.85
1,Kusunda OCP,2026-06-03,34.12
1,Kusunda OCP,2026-06-04,41.9
1,Kusunda OCP,2026-06-05,44.87
1,Kusunda OCP,2026-06-06,64.34
1,Kusunda OCP,2026-06-07,63.05
1,Kusunda OCP,2026-06-08,52.0
1,Kusunda OCP,2026-06-09,49.51
1,Kusunda OCP,2026-06-10,62.16
1,Kusunda OCP,2026-06-11,43.7
1,Kusunda OCP,2026-06-12,59.58
1,Kusunda OCP,2026-06-13,58.73
1,Kusunda OCP,2026-06-14,52.25
1,Kusunda OCP,2026-06-15,58.98
1,Kusunda OCP,2026-06-16,56.02
1,Kusunda OCP,2026-06-17,59.97
1,Kusunda OCP,2026-06-18,41.66
1,Kusunda OCP,2026-06-19,61.15
1,Kusunda OCP,2026-06-20,65.27
1,Kusunda OCP,2026-06-21,58.21
1,Kusunda OCP,2026-06-22,61.01
1,Kusunda OCP,2026-06-23,53.9
1,Kusunda OCP,2026-06-24,63.91
1,Kusunda OCP,2026-06-25,55.65
1,Kusunda OCP,2026-06-26,43.52
1,Kusunda OCP,2026-06-27,63.2
1,Kusunda OCP,2026-06-28,38.66
1,Kusunda OCP,2026-06-29,57.83
1,Kusunda OCP,2026-06-30,51.16
1,Kusunda OCP,2026-07-01,50.52
1,Kusunda OCP,2026-07-02,56.72
1,Kusunda OCP,2026-07-03,47.91
1,Kusunda OCP,2026-07-04,60.12
1,Kusunda OCP,2026-07-05,55.57
1,Kusunda OCP,2026-07-06,48.83
1,Kusunda OCP,2026-07-07,68.38
1,Kusunda OCP,2026-07-08,57.05
1,Kusunda OCP,2026-07-09,61.31
1,Kusunda OCP,2026-07-10,69.17
1,Kusunda OCP,2026-07-11,69.0
1,Kusunda OCP,2026-07-12,60.8
1,Kusunda OCP,2026-07-13,51.97
1,Kusunda OCP,2026-07-14,40.7
1,Kusunda OCP,2026-07-15,57.07
1,Kusunda OCP,2026-07-16,65.95
1,Kusunda OCP,2026-07-17,58.54
1,Kusunda OCP,2026-07-18,20.55
1,Kusunda OCP,2026-07-19,63.7
1,Kusunda OCP,2026-07-20,64.31
1,Kusunda OCP,2026-07-21,51.99
1,Kusunda OCP,2026-07-22,64.88
1,Kusunda OCP,2026-07-23,61.28
1,Kusunda OCP,2026-07-24,48.14
1,Kusunda OCP,2026-07-25,67.71
1,Kusunda OCP,2026-07-26,42.33
1,Kusunda OCP,2026-07-27,54.43
1,Kusunda OCP,2026-07-28,53.43
1,Kusunda OCP,2026-07-29,46.75
1,Kusunda OCP,2026-07-30,58.04
1,Kusunda OCP,2026-07-31,68.1
1,Kusunda OCP,2026-08-01,67.48
1,Kusunda OCP,2026-08-02,62.24
1,Kusunda OCP,2026-08-03,38.04
1,Kusunda OCP,2026-08-04,41.64
1,Kusunda OCP,2026-08-05,56.66
1,Kusunda OCP,2026-08-06,54.66
1,Kusunda OCP,2026-08-07,50.02
1,Kusunda OCP,2026-08-08,74.05
1,Kusunda OCP,2026-08-09,56.06
