mine_id,mine_name,subsidiary,mine_type,week,overdue_tasks,open_capas,overdue_capas,avg_capa_close_days_8w,near_miss_4w,incidents_12w,critical_findings_4w,expired_training_pct,invalid_attendance_pct_4w,low_trust_evidence_pct_4w,is_monsoon,y
1,Kusunda OCP,BCCL,opencast,2026-01-05,4,5,3,4.28,1,3,3,12.66,4.73,5.83,0,0
1,Kusunda OCP,BCCL,opencast,2026-01-12,3,2,1,7.3,3,2,0,14.36,4.45,6.36,0,0
1,Kusunda OCP,BCCL,opencast,2026-01-19,4,2,1,2.63,4,0,1,9.04,1.45,2.73,0,0
1,Kusunda OCP,BCCL,opencast,2026-01-26,1,6,0,5.24,2,1,1,9.51,3.15,4.84,0,0
1,Kusunda OCP,BCCL,opencast,2026-02-02,0,6,1,5.59,0,2,0,11.19,2.81,2.11,0,0
1,Kusunda OCP,BCCL,opencast,2026-02-09,3,3,1,6.71,0,1,2,13.18,3.56,2.06,0,0
1,Kusunda OCP,BCCL,opencast,2026-02-16,1,5,0,5.17,1,2,1,7.57,3.89,8.54,0,0
1,Kusunda OCP,BCCL,opencast,2026-02-23,0,2,1,4.36,3,1,1,7.73,1.55,2.44,0,0
1,Kusunda OCP,BCCL,opencast,2026-03-02,4,3,1,3.55,1,1,0,17.31,1.79,3.21,0,0
1,Kusunda OCP,BCCL,opencast,2026-03-09,2,0,0,6.18,1,1,1,8.33,5.83,2.35,0,0
1,Kusunda OCP,BCCL,opencast,2026-03-16,0,6,1,6.48,1,0,2,5.73,3.43,2.07,0,0
1,Kusunda OCP,BCCL,opencast,2026-03-23,0,3,1,4.94,2,2,0,4.52,7.67,10.81,0,0
1,Kusunda OCP,BCCL,opencast,2026-03-30,1,4,0,5.73,0,0,0,11.16,2.89,5.94,0,0
1,Kusunda OCP,BCCL,opencast,2026-04-06,1,3,0,11.63,2,0,1,4.44,6.38,5.53,0,0
1,Kusunda OCP,BCCL,opencast,2026-04-13,0,8,2,5.53,2,1,0,2.33,5.73,4.34,0,0
1,Kusunda OCP,BCCL,opencast,2026-04-20,4,7,1,7.56,1,1,1,2.14,3.87,2.66,0,0
1,Kusunda OCP,BCCL,opencast,2026-04-27,4,3,1,1.42,4,1,0,17.38,4.74,6.69,0,0
1,Kusunda OCP,BCCL,opencast,2026-05-04,4,2,0,8.0,2,3,2,14.21,5.11,9.66,0,0
1,Kusunda OCP,BCCL,opencast,2026-05-11,0,2,2,2.8,1,2,2,12.3,5.4,5.28,0,0
1,Kusunda OCP,BCCL,opencast,2026-05-18,1,3,2,5.76,0,2,1,13.75,3.43,5.4,0,0
1,Kusunda OCP,BCCL,opencast,2026-05-25,1,2,3,3.04,1,3,1,9.34,0.34,6.86,0,0
1,Kusunda OCP,BCCL,opencast,2026-06-01,2,5,2,8.23,1,1,0,10.35,4.32,7.15,0,0
1,Kusunda OCP,BCCL,opencast,2026-06-08,3,3,1,8.21,4,0,2,10.03,9.2,5.45,0,0
1,Kusunda OCP,BCCL,opencast,2026-06-15,5,3,1,5.43,1,0,1,0.05,1.01,7.73,0,0
1,Kusunda OCP,BCCL,opencast,2026-06-22,1,7,1,7.58,1,0,5,17.02,3.11,7.91,0,0
1,Kusunda OCP,BCCL,opencast,2026-06-29,2,2,0,7.27,3,0,2,8.73,3.68,5.41,0,0
1,Kusunda OCP,BCCL,opencast,2026-07-06,5,7,3,9.8,1,2,1,11.31,2.2,5.38,1,1
1,Kusunda OCP,BCCL,opencast,2026-07-13,8,9,0,5.44,7,4,1,4.83,4.47,2.15,1,1
1,Kusunda OCP,BCCL,opencast,2026-07-20,3,3,2,6.93,6,2,1,12.9,5.05,2.01,1,1
1,Kusunda OCP,BCCL,opencast,2026-07-27,4,8,1,9.17,1,2,3,9.79,3.84,1.59,1,0
1,Kusunda OCP,BCCL,opencast,2026-08-03,7,6,4,9.25,9,3,1,3.0,2.35,3.44,1,0
1,Kusunda OCP,BCCL,opencast,2026-08-10,4,6,2,6.05,5,2,1,9.32,3.98,4.58,1,0
1,Kusunda OCP,BCCL,opencast,2026-08-17,8,8,4,5.76,6,1,3,19.89,5.61,1.76,1,0
1,Kusunda OCP,BCCL,opencast,2026-08-24,9,12,4,6.16,9,2,2,8.58,4.17,3.89,1,0
1,Kusunda OCP,BCCL,opencast,2026-08-31,11,11,3,11.6,11,3,4,20.96,0.43,4.75,1,1
1,Kusunda OCP,BCCL,opencast,2026-09-07,10,16,5,6.74,12,4,4,11.19,4.06,5.06,1,1
1,Kusunda OCP,BCCL,opencast,2026-09-14,12,14,8,8.73,14,3,4,23.68,4.85,1.13,1,0
1,Kusunda OCP,BCCL,opencast,2026-09-21,10,14,5,8.56,13,4,10,24.94,6.49,4.14,1,1
2,Bastacolla OCP,BCCL,opencast,2026-01-05,3,4,0,2.93,3,1,1,10.35,1.85,3.5,0,0
2,Bastacolla OCP,BCCL,opencast,2026-01-12,1,6,0,4.27,4,1,0,10.03,4.9,7.33,0,1
2,Bastacolla OCP,BCCL,opencast,2026-01-19,1,2,0,6.42,2,1,0,0.0,4.77,0.0,0,0
2,Bastacolla OCP,BCCL,opencast,2026-01-26,2,1,3,9.23,3,1,0,14.62,4.07,4.43,0,0
2,Bastacolla OCP,BCCL,opencast,2026-02-02,2,7,2,3.19,5,1,1,11.76,5.53,5.24,0,1
2,Bastacolla OCP,BCCL,opencast,2026-02-09,2,3,2,6.76,1,2,1,8.63,3.33,6.24,0,0
2,Bastacolla OCP,BCCL,opencast,2026-02-16,2,7,1,4.94,5,1,1,5.7,2.92,6.09,0,0
2,Bastacolla OCP,BCCL,opencast,2026-02-23,5,3,1,8.91,2,0,0,12.28,6.89,4.85,0,0
2,Bastacolla OCP,BCCL,opencast,2026-03-02,0,3,1,4.83,1,0,1,10.55,3.18,2.2,0,0
2,Bastacolla OCP,BCCL,opencast,2026-03-09,1,7,2,8.26,1,1,3,14.2,6.97,4.46,0,0
2,Bastacolla OCP,BCCL,opencast,2026-03-16,1,2,1,6.9,0,1,0,8.65,7.54,4.8,0,0
2,Bastacolla OCP,BCCL,opencast,2026-03-23,4,6,1,4.91,1,0,0,15.1,6.06,5.37,0,1
2,Bastacolla OCP,BCCL,opencast,2026-03-30,1,6,1,2.99,4,0,1,9.42,2.0,4.83,0,0
2,Bastacolla OCP,BCCL,opencast,2026-04-06,2,4,0,3.25,2,2,1,19.67,7.92,2.54,0,0
2,Bastacolla OCP,BCCL,opencast,2026-04-13,1,2,0,4.7,1,0,0,11.49,5.77,4.02,0,0
2,Bastacolla OCP,BCCL,opencast,2026-04-20,1,1,1,8.65,4,1,3,4.39,1.63,5.17,0,0
2,Bastacolla OCP,BCCL,opencast,2026-04-27,1,2,2,4.94,4,0,1,6.02,4.6,3.55,0,0
2,Bastacolla OCP,BCCL,opencast,2026-05-04,1,1,1,7.59,2,3,0,17.25,3.25,5.75,0,0
