contractor,mine_id,mine_name,date,present
Moonidih Contractor A,3,Moonidih UG,2026-06-01,104
Moonidih Contractor A,3,Moonidih UG,2026-06-02,95
Moonidih Contractor A,3,Moonidih UG,2026-06-03,99
Moonidih Contractor A,3,Moonidih UG,2026-06-04,102
Moonidih Contractor A,3,Moonidih UG,2026-06-05,98
Moonidih Contractor A,3,Moonidih UG,2026-06-06,98
Moonidih Contractor A,3,Moonidih UG,2026-06-07,100
Moonidih Contractor A,3,Moonidih UG,2026-06-08,188
Moonidih Contractor A,3,Moonidih UG,2026-06-09,88
Moonidih Contractor A,3,Moonidih UG,2026-06-10,101
Moonidih Contractor A,3,Moonidih UG,2026-06-11,90
Moonidih Contractor A,3,Moonidih UG,2026-06-12,95
Moonidih Contractor A,3,Moonidih UG,2026-06-13,91
Moonidih Contractor A,3,Moonidih UG,2026-06-14,91
Moonidih Contractor A,3,Moonidih UG,2026-06-15,102
Moonidih Contractor A,3,Moonidih UG,2026-06-16,98
Moonidih Contractor A,3,Moonidih UG,2026-06-17,98
Moonidih Contractor A,3,Moonidih UG,2026-06-18,93
Moonidih Contractor A,3,Moonidih UG,2026-06-19,96
Moonidih Contractor A,3,Moonidih UG,2026-06-20,101
Moonidih Contractor A,3,Moonidih UG,2026-06-21,99
Moonidih Contractor A,3,Moonidih UG,2026-06-22,208
Moonidih Contractor A,3,Moonidih UG,2026-06-23,104
Moonidih Contractor A,3,Moonidih UG,2026-06-24,98
Moonidih Contractor A,3,Moonidih UG,2026-06-25,90
Moonidih Contractor A,3,Moonidih UG,2026-06-26,96
Moonidih Contractor A,3,Moonidih UG,2026-06-27,99
Moonidih Contractor A,3,Moonidih UG,2026-06-28,96
Moonidih Contractor A,3,Moonidih UG,2026-06-29,94
Moonidih Contractor A,3,Moonidih UG,2026-06-30,100
Moonidih Contractor A,3,Moonidih UG,2026-07-01,112
Moonidih Contractor A,3,Moonidih UG,2026-07-02,97
Moonidih Contractor A,3,Moonidih UG,2026-07-03,99
Moonidih Contractor A,3,Moonidih UG,2026-07-04,93
Moonidih Contractor A,3,Moonidih UG,2026-07-05,106
Moonidih Contractor A,3,Moonidih UG,2026-07-06,104
Moonidih Contractor A,3,Moonidih UG,2026-07-07,104
Moonidih Contractor A,3,Moonidih UG,2026-07-08,212
Moonidih Contractor A,3,Moonidih UG,2026-07-09,97
Moonidih Contractor A,3,Moonidih UG,2026-07-10,98
Moonidih Contractor A,3,Moonidih UG,2026-07-11,108
Moonidih Contractor A,3,Moonidih UG,2026-07-12,103
Moonidih Contractor A,3,Moonidih UG,2026-07-13,88
Moonidih Contractor A,3,Moonidih UG,2026-07-14,102
Moonidih Contractor A,3,Moonidih UG,2026-07-15,97
Moonidih Contractor A,3,Moonidih UG,2026-07-16,104
Moonidih Contractor A,3,Moonidih UG,2026-07-17,102
Moonidih Contractor A,3,Moonidih UG,2026-07-18,91
Moonidih Contractor A,3,Moonidih UG,2026-07-19,101
Moonidih Contractor A,3,Moonidih UG,2026-07-20,101
Moonidih Contractor A,3,Moonidih UG,2026-07-21,101
Moonidih Contractor A,3,Moonidih UG,2026-07-22,204
Moonidih Contractor A,3,Moonidih UG,2026-07-23,107
Moonidih Contractor A,3,Moonidih UG,2026-07-24,102
Moonidih Contractor A,3,Moonidih UG,2026-07-25,100
Moonidih Contractor A,3,Moonidih UG,2026-07-26,105
Moonidih Contractor A,3,Moonidih UG,2026-07-27,111
Moonidih Contractor A,3,Moonidih UG,2026-07-28,104
Moonidih Contractor A,3,Moonidih UG,2026-07-29,101
Moonidih Contractor A,3,Moonidih UG,2026-07-30,102
Moonidih Contractor A,3,Moonidih UG,2026-07-31,101
Moonidih Contractor A,3,Moonidih UG,2026-08-01,100
Moonidih Contractor A,3,Moonidih UG,2026-08-02,110
Moonidih Contractor A,3,Moonidih UG,2026-08-03,96
Moonidih Contractor A,3,Moonidih UG,2026-08-04,105
Moonidih Contractor A,3,Moonidih UG,2026-08-05,99
Moonidih Contractor A,3,Moonidih UG,2026-08-06,92
Moonidih Contractor A,3,Moonidih UG,2026-08-07,99
Moonidih Contractor A,3,Moonidih UG,2026-08-08,194
Moonidih Contractor A,3,Moonidih UG,2026-08-09,102
Moonidih Contractor A,3,Moonidih UG,2026-08-10,100
Moonidih Contractor A,3,Moonidih UG,2026-08-11,94
