finding_id,mine_name,category,description,created_at
1,Kusunda OCP,haul_road,Coal spillage on haul road near bench 3,2026-07-01
2,Kusunda OCP,haul_road,Spillage of coal observed on haul road,2026-07-05
3,Kusunda OCP,haul_road,Coal spilled along the haul road,2026-07-09
4,Kusunda OCP,haul_road,Coal accumulation found on haul road,2026-07-13
5,Kusunda OCP,haul_road,Spilled coal creating hazard on road,2026-07-17
6,Kusunda OCP,haul_road,Haul road affected by coal spillage,2026-07-21
7,Bastacolla OCP,haul_road,Coal spillage observed on haul road,2026-07-25
8,Bastacolla OCP,haul_road,Coal spilled near haul road turn,2026-07-29
9,Bastacolla OCP,haul_road,Spillage creating slipping hazard,2026-08-02
10,Bastacolla OCP,haul_road,Coal accumulation on haul roadway,2026-08-06
11,Kusunda OCP,drainage,Water accumulation near ramp,2026-08-10
12,Lodna OCP,dust,Excessive dust observed near crusher,2026-08-14
