mine_id,mine_name,date,produced_t,dispatched_t
1,Kusunda OCP,2026-06-01,4230.24,3886.34
1,Kusunda OCP,2026-06-02,4488.94,4196.28
1,Kusunda OCP,2026-06-03,4088.2,3589.57
1,Kusunda OCP,2026-06-04,4201.98,3830.02
1,Kusunda OCP,2026-06-05,4038.14,3669.15
1,Kusunda OCP,2026-06-06,3763.31,3509.52
1,Kusunda OCP,2026-06-07,3837.52,3598.02
1,Kusunda OCP,2026-06-08,4575.14,4336.37
1,Kusunda OCP,2026-06-09,4415.48,3963.75
1,Kusunda OCP,2026-06-10,4191.73,3792.35
1,Kusunda OCP,2026-06-11,4359.33,4047.68
1,Kusunda OCP,2026-06-12,4425.09,3941.1
1,Kusunda OCP,2026-06-13,4008.82,3804.74
1,Kusunda OCP,2026-06-14,3894.63,3495.18
1,Kusunda OCP,2026-06-15,4538.81,4292.51
1,Kusunda OCP,2026-06-16,3559.2,3326.67
1,Kusunda OCP,2026-06-17,4364.36,4071.03
1,Kusunda OCP,2026-06-18,4254.1,4006.44
1,Kusunda OCP,2026-06-19,4504.23,4169.91
1,Kusunda OCP,2026-06-20,4375.94,4060.03
1,Kusunda OCP,2026-06-21,4357.31,4011.45
1,Kusunda OCP,2026-06-22,3921.58,3584.27
1,Kusunda OCP,2026-06-23,4437.45,4021.94
1,Kusunda OCP,2026-06-24,4324.83,4121.36
1,Kusunda OCP,2026-06-25,3956.6,3700.12
1,Kusunda OCP,2026-06-26,4256.84,3969.06
1,Kusunda OCP,2026-06-27,3862.88,3675.85
1,Kusunda OCP,2026-06-28,3570.44,3558.5
1,Kusunda OCP,2026-06-29,4160.47,3628.44
1,Kusunda OCP,2026-06-30,4739.03,4536.86
1,Kusunda OCP,2026-07-01,4244.97,4091.43
1,Kusunda OCP,2026-07-02,3806.37,3626.11
1,Kusunda OCP,2026-07-03,4132.35,3850.6
1,Kusunda OCP,2026-07-04,4275.81,3909.49
1,Kusunda OCP,2026-07-05,4098.94,3795.32
1,Kusunda OCP,2026-07-06,3871.86,3706.31
1,Kusunda OCP,2026-07-07,3750.31,3385.38
1,Kusunda OCP,2026-07-08,4098.63,3985.74
1,Kusunda OCP,2026-07-09,4181.07,4005.96
1,Kusunda OCP,2026-07-10,4698.11,4456.0
1,Kusunda OCP,2026-07-11,4404.45,3995.56
1,Kusunda OCP,2026-07-12,3913.52,3605.92
1,Kusunda OCP,2026-07-13,4366.04,4054.49
1,Kusunda OCP,2026-07-14,4308.33,4141.29
1,Kusunda OCP,2026-07-15,4366.21,4114.83
1,Kusunda OCP,2026-07-16,4304.84,3912.84
1,Kusunda OCP,2026-07-17,4400.64,4065.77
1,Kusunda OCP,2026-07-18,4392.64,4023.8
1,Kusunda OCP,2026-07-19,4648.65,4352.06
1,Kusunda OCP,2026-07-20,4249.19,3855.98
1,Kusunda OCP,2026-07-21,4052.88,3886.41
1,Kusunda OCP,2026-07-22,4347.97,4068.57
1,Kusunda OCP,2026-07-23,3837.74,3487.69
1,Kusunda OCP,2026-07-24,4629.34,4492.31
1,Kusunda OCP,2026-07-25,4506.7,4460.4
1,Kusunda OCP,2026-07-26,4079.91,3595.86
1,Kusunda OCP,2026-07-27,4101.5,3792.51
1,Kusunda OCP,2026-07-28,4428.86,4300.51
1,Kusunda OCP,2026-07-29,4221.63,3915.21
1,Kusunda OCP,2026-07-30,4758.7,4582.27
1,Kusunda OCP,2026-07-31,4085.54,3878.37
1,Kusunda OCP,2026-08-01,3889.68,3476.94
1,Kusunda OCP,2026-08-02,4208.0,3963.55
1,Kusunda OCP,2026-08-03,4044.65,3800.97
1,Kusunda OCP,2026-08-04,4057.86,3884.3
1,Kusunda OCP,2026-08-05,4122.38,3858.3
1,Kusunda OCP,2026-08-06,3972.66,3657.16
1,Kusunda OCP,2026-08-07,4271.97,4027.63
1,Kusunda OCP,2026-08-08,4156.76,3640.9
1,Kusunda OCP,2026-08-09,4836.13,4641.54
1,Kusunda OCP,2026-08-10,3925.67,3731.61
1,Kusunda OCP,2026-08-11,4517.12,4256.97
1,Kusunda OCP,2026-08-12,4271.9,3772.21
1,Kusunda OCP,2026-08-13,4196.86,3826.24
1,Kusunda OCP,2026-08-14,4356.13,4114.95
1,Kusunda OCP,2026-08-15,4517.75,4302.72
1,Kusunda OCP,2026-08-16,4601.96,4360.71
1,Kusunda OCP,2026-08-17,4056.61,3865.46
1,Kusunda OCP,2026-08-18,3922.72,3665.4
1,Kusunda OCP,2026-08-19,3470.6,3193.93
1,Kusunda OCP,2026-08-20,4047.61,3668.61
1,Kusunda OCP,2026-08-21,4326.89,4097.66
1,Kusunda OCP,2026-08-22,4062.43,3785.9
1,Kusunda OCP,2026-08-23,4645.79,4428.02
1,Kusunda OCP,2026-08-24,3984.07,3796.93
1,Kusunda OCP,2026-08-25,3755.39,3424.69
1,Kusunda OCP,2026-08-26,4260.87,3832.59
1,Kusunda OCP,2026-08-27,4512.42,3972.71
1,Kusunda OCP,2026-08-28,4177.84,3903.89
1,Kusunda OCP,2026-08-29,3809.93,3440.27
1,Kusunda OCP,2026-08-30,4235.56,3870.43
1,Kusunda OCP,2026-08-31,3858.26,3523.1
1,Kusunda OCP,2026-09-01,4261.56,3947.66
1,Kusunda OCP,2026-09-02,3995.02,3576.09
1,Kusunda OCP,2026-09-03,4815.09,4626.13
1,Kusunda OCP,2026-09-04,4416.13,4403.92
1,Kusunda OCP,2026-09-05,4400.58,4287.6
1,Kusunda OCP,2026-09-06,4042.51,3873.81
1,Kusunda OCP,2026-09-07,4135.32,3751.44
1,Kusunda OCP,2026-09-08,3642.81,3378.75
1,Kusunda OCP,2026-09-09,4045.99,3587.88
1,Kusunda OCP,2026-09-10,4329.53,4147.25
1,Kusunda OCP,2026-09-11,4058.61,3603.0
1,Kusunda OCP,2026-09-12,4414.31,4206.13
1,Kusunda OCP,2026-09-13,4119.88,3843.39
1,Kusunda OCP,2026-09-14,4038.61,3909.63
1,Kusunda OCP,2026-09-15,3996.71,3557.79
1,Kusunda OCP,2026-09-16,4085.66,3795.98
1,Kusunda OCP,2026-09-17,4242.16,3720.34
1,Kusunda OCP,2026-09-18,4202.66,3793.27
1,Kusunda OCP,2026-09-19,4020.55,3746.49
1,Kusunda OCP,2026-09-20,4203.77,3981.18
1,Kusunda OCP,2026-09-21,4138.88,3750.08
2,Bastacolla OCP,2026-06-01,3959.89,3659.88
2,Bastacolla OCP,2026-06-02,4412.62,4195.07
2,Bastacolla OCP,2026-06-03,4528.62,4221.34
2,Bastacolla OCP,2026-06-04,4150.46,4051.28
2,Bastacolla OCP,2026-06-05,4087.92,2043.96
2,Bastacolla OCP,2026-06-06,4723.6,4366.81
2,Bastacolla OCP,2026-06-07,4537.86,4358.78
2,Bastacolla OCP,2026-06-08,4161.95,3739.88
2,Bastacolla OCP,2026-06-09,3933.68,3537.16
2,Bastacolla OCP,2026-06-10,4420.0,4092.52
2,Bastacolla OCP,2026-06-11,4101.39,3900.02
2,Bastacolla OCP,2026-06-12,4732.61,4369.43
2,Bastacolla OCP,2026-06-13,4302.18,4043.47
2,Bastacolla OCP,2026-06-14,4211.36,3894.89
2,Bastacolla OCP,2026-06-15,4319.96,3946.53
2,Bastacolla OCP,2026-06-16,3965.26,3811.92
2,Bastacolla OCP,2026-06-17,4225.28,2112.64
2,Bastacolla OCP,2026-06-18,4102.9,3853.82
2,Bastacolla OCP,2026-06-19,4347.52,3849.26
2,Bastacolla OCP,2026-06-20,3616.62,3089.2
2,Bastacolla OCP,2026-06-21,4130.08,3795.3
2,Bastacolla OCP,2026-06-22,3775.55,3375.86
2,Bastacolla OCP,2026-06-23,4212.44,3918.59
2,Bastacolla OCP,2026-06-24,3618.78,3311.4
2,Bastacolla OCP,2026-06-25,4453.75,4177.38
2,Bastacolla OCP,2026-06-26,4552.26,4138.97
2,Bastacolla OCP,2026-06-27,4007.67,3548.16
2,Bastacolla OCP,2026-06-28,4213.59,2106.79
2,Bastacolla OCP,2026-06-29,4229.69,3922.76
2,Bastacolla OCP,2026-06-30,3410.96,3129.51
2,Bastacolla OCP,2026-07-01,3790.82,3328.18
2,Bastacolla OCP,2026-07-02,4675.82,4290.63
2,Bastacolla OCP,2026-07-03,4128.46,3929.26
2,Bastacolla OCP,2026-07-04,4002.73,3508.46
2,Bastacolla OCP,2026-07-05,3992.34,1996.17
2,Bastacolla OCP,2026-07-06,4509.05,4059.0
2,Bastacolla OCP,2026-07-07,4697.76,4293.93
2,Bastacolla OCP,2026-07-08,4560.46,4255.16
2,Bastacolla OCP,2026-07-09,3577.11,3274.32
2,Bastacolla OCP,2026-07-10,4386.47,4100.0
2,Bastacolla OCP,2026-07-11,4145.75,3942.16
2,Bastacolla OCP,2026-07-12,3899.48,3415.66
2,Bastacolla OCP,2026-07-13,4762.3,4462.57
2,Bastacolla OCP,2026-07-14,4284.46,4082.54
2,Bastacolla OCP,2026-07-15,4392.77,3916.81
2,Bastacolla OCP,2026-07-16,3741.23,3394.84
2,Bastacolla OCP,2026-07-17,4361.71,2180.85
2,Bastacolla OCP,2026-07-18,4692.85,4189.24
2,Bastacolla OCP,2026-07-19,4129.95,3762.64
2,Bastacolla OCP,2026-07-20,4225.27,3988.48
2,Bastacolla OCP,2026-07-21,4281.24,3914.09
2,Bastacolla OCP,2026-07-22,4265.08,4053.2
2,Bastacolla OCP,2026-07-23,4060.93,3806.52
2,Bastacolla OCP,2026-07-24,3947.27,3615.91
2,Bastacolla OCP,2026-07-25,4325.43,3927.48
2,Bastacolla OCP,2026-07-26,3942.71,3700.46
2,Bastacolla OCP,2026-07-27,4666.37,4382.82
2,Bastacolla OCP,2026-07-28,4209.04,2104.52
2,Bastacolla OCP,2026-07-29,4539.91,4122.73
2,Bastacolla OCP,2026-07-30,4533.96,4231.31
2,Bastacolla OCP,2026-07-31,3938.27,3445.75
2,Bastacolla OCP,2026-08-01,4456.89,4202.56
2,Bastacolla OCP,2026-08-02,4627.15,4380.71
2,Bastacolla OCP,2026-08-03,4623.21,4175.38
2,Bastacolla OCP,2026-08-04,3923.56,3565.38
2,Bastacolla OCP,2026-08-05,4434.66,2217.33
2,Bastacolla OCP,2026-08-06,3977.31,3534.06
2,Bastacolla OCP,2026-08-07,4205.2,4029.34
2,Bastacolla OCP,2026-08-08,4164.0,3863.76
2,Bastacolla OCP,2026-08-09,3882.33,3551.12
2,Bastacolla OCP,2026-08-10,4487.34,4163.52
2,Bastacolla OCP,2026-08-11,4037.45,3752.29
2,Bastacolla OCP,2026-08-12,4198.64,3876.9
2,Bastacolla OCP,2026-08-13,4532.95,4205.76
2,Bastacolla OCP,2026-08-14,3779.19,3535.42
2,Bastacolla OCP,2026-08-15,4249.81,3837.39
2,Bastacolla OCP,2026-08-16,4589.35,4111.89
2,Bastacolla OCP,2026-08-17,4239.18,2119.59
2,Bastacolla OCP,2026-08-18,3763.66,3420.67
2,Bastacolla OCP,2026-08-19,3877.42,3583.67
2,Bastacolla OCP,2026-08-20,5108.95,4778.6
2,Bastacolla OCP,2026-08-21,3940.86,3600.08
2,Bastacolla OCP,2026-08-22,4044.88,3840.95
2,Bastacolla OCP,2026-08-23,4830.94,4424.26
2,Bastacolla OCP,2026-08-24,4303.66,4042.84
2,Bastacolla OCP,2026-08-25,4106.76,3652.51
2,Bastacolla OCP,2026-08-26,4291.97,4283.69
2,Bastacolla OCP,2026-08-27,4926.28,4607.98
2,Bastacolla OCP,2026-08-28,4303.01,2151.51
2,Bastacolla OCP,2026-08-29,4339.62,3964.93
2,Bastacolla OCP,2026-08-30,4072.88,3895.86
2,Bastacolla OCP,2026-08-31,4284.07,3840.91
2,Bastacolla OCP,2026-09-01,4005.66,3778.46
2,Bastacolla OCP,2026-09-02,4566.31,4312.03
2,Bastacolla OCP,2026-09-03,4076.83,3814.15
2,Bastacolla OCP,2026-09-04,4180.51,4037.87
2,Bastacolla OCP,2026-09-05,4038.2,2019.1
2,Bastacolla OCP,2026-09-06,4266.97,3851.17
2,Bastacolla OCP,2026-09-07,4751.82,4300.57
2,Bastacolla OCP,2026-09-08,4474.4,4189.27
2,Bastacolla OCP,2026-09-09,4013.08,3711.29
2,Bastacolla OCP,2026-09-10,4375.67,3993.48
2,Bastacolla OCP,2026-09-11,4386.93,4099.04
2,Bastacolla OCP,2026-09-12,4436.06,4009.97
